id|nome|2-2015|5000-2015|5000-2030-O|5000-2050-O|5000-2030-P|5000-2050-P|5001-2015|5002-2015|5003-2015|5003-2030-O|5003-2050-O|5003-2030-P|5003-2050-P|5004-2015|5005-2015|5006-2015|5007-2015
1100015|Alta Floresta D&apos;Oeste|0.58004001596897|0.679501771703989|0.679501771703989|0.635045214513727|0.703511665266981|0.689404949258627|0.806633367915323|0.251806216454027|0.3|0.46|0.38|0.51|0.48|0.690607281794881|0.187168284406015|0.172675984067355|0.643464893806262
1100023|Ariquemes|0.518948242316349|0.646593807126705|0.646593807126705|0.62493263841433|0.62493263841433|0.671110098170615|0.530039492274218|0.340063415171096|0.26|0.45|0.41|0.41|0.5|0.570991130092722|0.592939614220435|0.169848598505876|0.536406518021754
1100049|Cacoal|0.708620470233299|0.74796276549555|0.74796276549555|0.720555883855326|0.714664694492201|0.742733566765675|0.707553404923502|0.393826665385519|0.38|0.45|0.4|0.39|0.44|0.690607281794881|0.408596234199239|0.244685832976119|0.688585905681939
1100056|Cerejeiras|0.519978587427105|0.729582203886894|0.729582203886894|0.702629350782218|0.71841096024771|0.706676227578738|0.471292830322615|0.384149574445352|0.26|0.64|0.57|0.61|0.58|0.437104537763042|0.486520699002306|0.505871329785902|0.28745357215629
1100064|Colorado do Oeste|0.592357894578979|0.709424839994261|0.709424839994261|0.69834229067696|0.720003459389335|0.779055534730612|0.613497325278628|0.402780183949449|0.26|0.43|0.41|0.45|0.58|0.437104537763042|0.168716283067166|0.275329151445951|0.455040552474789
1100080|Costa Marques|0.567420917959593|0.603290170379874|0.603290170379874|0.573796372951498|0.554120752327722|0.540014036319368|0.6245220950403|0.256720852226934|0.36|0.42|0.37|0.34|0.32|0.448795304117594|0.164833996329523|0.447817294476809|0.520483055185772
1100098|Espigão D&apos;Oeste|0.579364790855447|0.659605568654101|0.659605568654101|0.617181247531227|0.605245833909201|0.644588129171452|0.674764694253153|0.264833164380987|0.34|0.48|0.4|0.38|0.45|0.611733514608378|0.341837704892334|0.197632001228399|0.565943829798232
1100106|Guajará-Mirim|0.337602398296328|0.450574993784121|0.450574993784121|0.425394823400742|0.473294445392395|0.431949892103335|0.56910855849017|0.157387102371809|0.24|0.39|0.35|0.43|0.36|0.513344930517577|0.403278779601266|0.494614320784849|0.165551792937168
1100114|Jaru|0.357920473908054|0.470275035697477|0.470275035697477|0.426858433537221|0.438495335828194|0.475173944023219|0.512569859338716|0.157814290806917|0.29|0.47|0.39|0.41|0.48|0.437104537763042|0.394273107939467|0.172885709577704|0.46136777988458
1100122|Ji-Paraná|0.564125566452552|0.646413908506119|0.646413908506119|0.631066178619336|0.59695308208696|0.636295377349211|0.499831832496426|0.345003198133949|0.33|0.47|0.44|0.38|0.45|0.437104537763042|0.422740570814199|0.147701611286079|0.628052529778176
1100130|Machadinho D&apos;Oeste|0.471653197511635|0.594069563592116|0.594069563592116|0.559956467059741|0.553751044629763|0.6094172934789|0.473078634496152|0.310930113498755|0.26|0.44|0.38|0.37|0.47|0.358494776472968|0.34296235927199|0.0913159970758543|0.382351444347324
1100155|Ouro Preto do Oeste|0.60558359871831|0.7286401015179|0.7286401015179|0.661699489351116|0.650346527974745|0.687871940771877|0.582162894448399|0.353981254771086|0.33|0.56|0.42|0.4|0.47|0.380555300285721|0.138343656884145|0.398344827590744|0.357076091526384
1100189|Pimenta Bueno|0.474786401377574|0.555027179176228|0.555027179176228|0.518348570981204|0.500667444431328|0.54512400162159|0.573803477672202|0.198689640030471|0.34|0.48|0.41|0.38|0.46|0.437104537763042|0.257425715625404|0.337307357153285|0.443175749802309
1100205|Porto Velho|0.124094809867587|0.290858216710157|0.290858216710157|0.274029954465007|0.255889118413002|0.32125216826166|0.234461333980491|0.17441825098083|0.21|0.43|0.4|0.37|0.49|0.341971169992378|0.846897288840176|0.145843912639773|0.370372201549164
1100254|Presidente Médici|0.630791502799617|0.736603854859711|0.736603854859711|0.697732114966401|0.697732114966401|0.663619018434025|0.707218106387133|0.324728001455687|0.33|0.52|0.44|0.44|0.38|0.58953760905096|0.229901871424073|0.236724283025347|0.549852297836994
1100288|Rolim de Moura|0.636253919902793|0.733090095728371|0.733090095728371|0.689673493568115|0.789912176738247|0.733090095728371|0.652245240166691|0.383715689446106|0.31|0.47|0.39|0.6|0.47|0.590928779614358|0.355227426694672|0.206933693242397|0.550860865184091
1100296|Santa Luzia D&apos;Oeste|0.520175912307029|0.614523406114037|0.614523406114037|0.577844797919012|0.658558041972664|0.604620228559398|0.599458740542523|0.245597279393319|0.32|0.48|0.41|0.58|0.46|0.437104537763042|0.200090285864995|0.460711788509707|0.337413117237305
1100304|Vilhena|0.576383746351002|0.695247531201919|0.695247531201919|0.643324358517786|0.67073124015801|0.68574867964066|0.548289834708421|0.364676965820379|0.3|0.5|0.4|0.45|0.48|0.437104537763042|0.314444647431956|0.445314757001293|0.300305139153555
1100338|Nova Mamoré|0.244904783221441|0.359498915240974|0.359498915240974|0.346198749609103|0.359498915240974|0.372079792662857|0.419131367502085|0.156527535286155|0.22|0.36|0.34|0.36|0.38|0.313195390181289|0.383099321658771|0.179421246932733|0.349510408848621
